L1,L2,L3,F1,F2,F3,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12
15.000,37.500,37.500,0.100,109.587,98.231,17.908,-0.000,16.682,17.337,9.750,15.932,17.670,15.152,16.530,18.111,22.190,16.715,18.381,27.619,17.562,18.742,35.128,18.249,19.360,40.511,19.419,19.957,47.847,20.995,20.400,52.821,23.004,20.890,60.160,25.972,21.217,64.933,28.859,21.069,72.260,34.809
14.500,37.500,37.500,0.100,109.587,98.231,17.908,-0.000,16.682,17.337,9.750,15.932,17.670,15.152,16.530,18.111,22.190,16.715,18.381,27.619,17.562,18.742,35.128,18.249,19.360,40.511,19.419,19.957,47.847,20.995,20.400,52.821,23.004,20.890,60.160,25.972,21.217,64.933,28.859,21.069,72.260,34.809
14.000,37.500,37.500,0.100,109.406,97.930,17.908,-0.000,16.682,17.337,9.754,15.933,17.670,15.167,16.537,18.115,22.230,16.743,18.387,27.666,17.617,18.753,35.191,18.361,19.375,40.572,19.583,19.977,47.911,21.255,20.423,52.863,23.344,20.915,60.167,26.462,21.240,64.883,29.456,21.084,72.082,35.595
13.500,37.500,37.500,0.100,109.406,97.930,17.908,-0.000,16.682,17.337,9.754,15.933,17.670,15.167,16.537,18.115,22.230,16.743,18.387,27.666,17.617,18.753,35.191,18.361,19.375,40.572,19.583,19.977,47.911,21.255,20.423,52.863,23.344,20.915,60.167,26.462,21.240,64.883,29.456,21.084,72.082,35.595
13.000,37.500,37.500,0.100,109.406,97.930,17.908,-0.000,16.682,17.337,9.754,15.933,17.670,15.167,16.537,18.115,22.230,16.743,18.387,27.666,17.617,18.753,35.191,18.361,19.375,40.572,19.583,19.977,47.911,21.255,20.423,52.863,23.344,20.915,60.167,26.462,21.240,64.883,29.456,21.084,72.082,35.595
12.500,37.500,37.500,0.100,109.406,97.930,17.908,-0.000,16.682,17.337,9.754,15.933,17.670,15.167,16.537,18.115,22.230,16.743,18.387,27.666,17.617,18.753,35.191,18.361,19.375,40.572,19.583,19.977,47.911,21.255,20.423,52.863,23.344,20.915,60.167,26.462,21.240,64.883,29.456,21.084,72.082,35.595
12.000,37.500,37.500,0.100,109.227,97.633,17.908,-0.000,16.682,17.336,9.759,15.935,17.670,15.181,16.543,18.118,22.269,16.771,18.393,27.710,17.673,18.764,35.252,18.472,19.388,40.631,19.746,19.997,47.971,21.514,20.445,52.899,23.681,20.939,60.167,26.943,21.262,64.825,30.040,21.097,71.894,36.358
11.500,37.500,37.500,0.100,109.227,97.633,17.908,-0.000,16.682,17.336,9.759,15.935,17.670,15.181,16.543,18.118,22.269,16.771,18.393,27.710,17.673,18.764,35.252,18.472,19.388,40.631,19.746,19.997,47.971,21.514,20.445,52.899,23.681,20.939,60.167,26.943,21.262,64.825,30.040,21.097,71.894,36.358
11.000,37.500,37.500,0.100,109.227,97.633,17.908,-0.000,16.682,17.336,9.759,15.935,17.670,15.181,16.543,18.118,22.269,16.771,18.393,27.710,17.673,18.764,35.252,18.472,19.388,40.631,19.746,19.997,47.971,21.514,20.445,52.899,23.681,20.939,60.167,26.943,21.262,64.825,30.040,21.097,71.894,36.358
10.500,37.500,37.500,0.100,109.052,97.341,17.908,-0.000,16.682,17.336,9.763,15.937,17.670,15.196,16.550,18.121,22.308,16.798,18.398,27.754,17.728,18.774,35.311,18.584,19.401,40.686,19.909,20.016,48.026,21.771,20.465,52.930,24.014,20.962,60.158,27.416,21.282,64.758,30.612,21.110,71.697,37.099
10.000,37.500,37.500,0.100,109.052,97.341,17.908,-0.000,16.682,17.336,9.763,15.937,17.670,15.196,16.550,18.121,22.308,16.798,18.398,27.754,17.728,18.774,35.311,18.584,19.401,40.686,19.909,20.016,48.026,21.771,20.465,52.930,24.014,20.962,60.158,27.416,21.282,64.758,30.612,21.110,71.697,37.099
9.500,37.500,37.500,0.100,109.052,97.341,17.908,-0.000,16.682,17.336,9.763,15.937,17.670,15.196,16.550,18.121,22.308,16.798,18.398,27.754,17.728,18.774,35.311,18.584,19.401,40.686,19.909,20.016,48.026,21.771,20.465,52.930,24.014,20.962,60.158,27.416,21.282,64.758,30.612,21.110,71.697,37.099
9.000,37.500,37.500,0.100,109.052,97.341,17.908,-0.000,16.682,17.336,9.763,15.937,17.670,15.196,16.550,18.121,22.308,16.798,18.398,27.754,17.728,18.774,35.311,18.584,19.401,40.686,19.909,20.016,48.026,21.771,20.465,52.930,24.014,20.962,60.158,27.416,21.282,64.758,30.612,21.110,71.697,37.099
8.500,37.500,37.500,0.100,108.879,97.054,17.908,-0.000,16.682,17.336,9.768,15.938,17.670,15.209,16.557,18.124,22.345,16.826,18.403,27.796,17.783,18.783,35.367,18.695,19.414,40.738,20.071,20.033,48.076,22.026,20.484,52.955,24.343,20.983,60.142,27.881,21.301,64.684,31.171,21.121,71.493,37.819
8.000,37.500,37.500,0.100,108.879,97.054,17.908,-0.000,16.682,17.336,9.768,15.938,17.670,15.209,16.557,18.124,22.345,16.826,18.403,27.796,17.783,18.783,35.367,18.695,19.414,40.738,20.071,20.033,48.076,22.026,20.484,52.955,24.343,20.983,60.142,27.881,21.301,64.684,31.171,21.121,71.493,37.819
7.500,37.500,37.500,0.100,108.879,97.054,17.908,-0.000,16.682,17.336,9.768,15.938,17.670,15.209,16.557,18.124,22.345,16.826,18.403,27.796,17.783,18.783,35.367,18.695,19.414,40.738,20.071,20.033,48.076,22.026,20.484,52.955,24.343,20.983,60.142,27.881,21.301,64.684,31.171,21.121,71.493,37.819
7.000,37.500,37.500,0.100,108.709,96.772,17.908,-0.000,16.682,17.335,9.772,15.940,17.670,15.223,16.563,18.126,22.382,16.854,18.408,27.837,17.838,18.792,35.422,18.807,19.425,40.788,20.232,20.050,48.123,22.279,20.503,52.976,24.669,21.003,60.120,28.338,21.319,64.603,31.720,21.130,71.282,38.520
6.500,37.500,37.500,0.100,108.709,96.772,17.908,-0.000,16.682,17.335,9.772,15.940,17.670,15.223,16.563,18.126,22.382,16.854,18.408,27.837,17.838,18.792,35.422,18.807,19.425,40.788,20.232,20.050,48.123,22.279,20.503,52.976,24.669,21.003,60.120,28.338,21.319,64.603,31.720,21.130,71.282,38.520
6.000,37.500,37.500,0.100,108.709,96.772,17.908,-0.000,16.682,17.335,9.772,15.940,17.670,15.223,16.563,18.126,22.382,16.854,18.408,27.837,17.838,18.792,35.422,18.807,19.425,40.788,20.232,20.050,48.123,22.279,20.503,52.976,24.669,21.003,60.120,28.338,21.319,64.603,31.720,21.130,71.282,38.520
5.500,37.500,37.500,0.100,108.542,96.495,17.908,-0.000,16.682,17.335,9.776,15.942,17.670,15.236,16.570,18.129,22.417,16.882,18.412,27.876,17.893,18.800,35.474,18.917,19.436,40.834,20.393,20.066,48.165,22.530,20.520,52.992,24.992,21.022,60.091,28.789,21.335,64.515,32.257,21.139,71.065,39.202
5.000,37.500,37.500,0.100,108.542,96.495,17.908,-0.000,16.682,17.335,9.776,15.942,17.670,15.236,16.570,18.129,22.417,16.882,18.412,27.876,17.893,18.800,35.474,18.917,19.436,40.834,20.393,20.066,48.165,22.530,20.520,52.992,24.992,21.022,60.091,28.789,21.335,64.515,32.257,21.139,71.065,39.202
4.500,37.500,37.500,0.100,108.542,96.495,17.908,-0.000,16.682,17.335,9.776,15.942,17.670,15.236,16.570,18.129,22.417,16.882,18.412,27.876,17.893,18.800,35.474,18.917,19.436,40.834,20.393,20.066,48.165,22.530,20.520,52.992,24.992,21.022,60.091,28.789,21.335,64.515,32.257,21.139,71.065,39.202
4.000,37.500,37.500,0.100,108.542,96.495,17.908,-0.000,16.682,17.335,9.776,15.942,17.670,15.236,16.570,18.129,22.417,16.882,18.412,27.876,17.893,18.800,35.474,18.917,19.436,40.834,20.393,20.066,48.165,22.530,20.520,52.992,24.992,21.022,60.091,28.789,21.335,64.515,32.257,21.139,71.065,39.202
3.500,37.500,37.500,0.100,108.377,96.223,17.908,-0.000,16.682,17.335,9.780,15.944,17.670,15.248,16.576,18.131,22.452,16.910,18.416,27.915,17.948,18.808,35.524,19.028,19.447,40.879,20.553,20.081,48.203,22.780,20.536,53.003,25.311,21.039,60.056,29.232,21.350,64.421,32.784,21.147,70.842,39.866
3.000,37.500,37.500,0.100,108.377,96.223,17.908,-0.000,16.682,17.335,9.780,15.944,17.670,15.248,16.576,18.131,22.452,16.910,18.416,27.915,17.948,18.808,35.524,19.028,19.447,40.879,20.553,20.081,48.203,22.780,20.536,53.003,25.311,21.039,60.056,29.232,21.350,64.421,32.784,21.147,70.842,39.866
2.500,37.500,37.500,0.100,108.377,96.223,17.908,-0.000,16.682,17.335,9.780,15.944,17.670,15.248,16.576,18.131,22.452,16.910,18.416,27.915,17.948,18.808,35.524,19.028,19.447,40.879,20.553,20.081,48.203,22.780,20.536,53.003,25.311,21.039,60.056,29.232,21.350,64.421,32.784,21.147,70.842,39.866
2.000,37.500,37.500,0.100,108.215,95.957,17.908,-0.000,16.682,17.335,9.784,15.945,17.669,15.260,16.583,18.133,22.486,16.938,18.420,27.952,18.003,18.815,35.573,19.138,19.457,40.921,20.712,20.095,48.238,23.027,20.552,53.010,25.627,21.056,60.015,29.668,21.364,64.321,33.300,21.154,70.614,40.513
1.500,37.500,37.500,0.100,108.215,95.957,17.908,-0.000,16.682,17.335,9.784,15.945,17.669,15.260,16.583,18.133,22.486,16.938,18.420,27.952,18.003,18.815,35.573,19.138,19.457,40.921,20.712,20.095,48.238,23.027,20.552,53.010,25.627,21.056,60.015,29.668,21.364,64.321,33.300,21.154,70.614,40.513
1.000,37.500,37.500,0.100,108.215,95.957,17.908,-0.000,16.682,17.335,9.784,15.945,17.669,15.260,16.583,18.133,22.486,16.938,18.420,27.952,18.003,18.815,35.573,19.138,19.457,40.921,20.712,20.095,48.238,23.027,20.552,53.010,25.627,21.056,60.015,29.668,21.364,64.321,33.300,21.154,70.614,40.513
0.500,37.500,37.500,0.100,108.055,95.696,17.908,-0.000,16.682,17.334,9.788,15.947,17.669,15.272,16.589,18.135,22.519,16.966,18.424,27.988,18.057,18.822,35.619,19.248,19.466,40.960,20.870,20.109,48.269,23.272,20.566,53.012,25.939,21.071,59.968,30.097,21.377,64.216,33.807,21.159,70.381,41.144
0.000,37.500,37.500,0.100,108.055,95.696,17.908,-0.000,16.682,17.334,9.788,15.947,17.669,15.272,16.589,18.135,22.519,16.966,18.424,27.988,18.057,18.822,35.619,19.248,19.466,40.960,20.870,20.109,48.269,23.272,20.566,53.012,25.939,21.071,59.968,30.097,21.377,64.216,33.807,21.159,70.381,41.144
0.000,37.500,37.500,0.100,108.055,95.696,17.908,-0.000,16.682,17.334,9.788,15.947,17.669,15.272,16.589,18.135,22.519,16.966,18.424,27.988,18.057,18.822,35.619,19.248,19.466,40.960,20.870,20.109,48.269,23.272,20.566,53.012,25.939,21.071,59.968,30.097,21.377,64.216,33.807,21.159,70.381,41.144
0.000,37.500,37.500,0.100,108.055,95.696,17.908,-0.000,16.682,17.334,9.788,15.947,17.669,15.272,16.589,18.135,22.519,16.966,18.424,27.988,18.057,18.822,35.619,19.248,19.466,40.960,20.870,20.109,48.269,23.272,20.566,53.012,25.939,21.071,59.968,30.097,21.377,64.216,33.807,21.159,70.381,41.144
0.000,37.500,37.500,0.100,107.898,95.440,17.908,-0.000,16.682,17.334,9.792,15.949,17.669,15.284,16.596,18.136,22.551,16.994,18.427,28.022,18.112,18.829,35.664,19.358,19.475,40.997,21.027,20.122,48.296,23.516,20.580,53.011,26.247,21.085,59.917,30.519,21.389,64.105,34.304,21.164,70.145,41.759
0.000,37.500,37.500,0.100,107.898,95.440,17.908,-0.000,16.682,17.334,9.792,15.949,17.669,15.284,16.596,18.136,22.551,16.994,18.427,28.022,18.112,18.829,35.664,19.358,19.475,40.997,21.027,20.122,48.296,23.516,20.580,53.011,26.247,21.085,59.917,30.519,21.389,64.105,34.304,21.164,70.145,41.759
0.000,37.500,37.500,0.100,107.898,95.440,17.908,-0.000,16.682,17.334,9.792,15.949,17.669,15.284,16.596,18.136,22.551,16.994,18.427,28.022,18.112,18.829,35.664,19.358,19.475,40.997,21.027,20.122,48.296,23.516,20.580,53.011,26.247,21.085,59.917,30.519,21.389,64.105,34.304,21.164,70.145,41.759
0.000,37.500,37.500,0.100,107.743,95.189,17.908,-0.000,16.682,17.334,9.795,15.951,17.669,15.295,16.602,18.138,22.583,17.022,18.431,28.056,18.166,18.835,35.706,19.467,19.483,41.032,21.184,20.134,48.320,23.757,20.593,53.005,26.552,21.099,59.861,30.934,21.401,63.990,34.791,21.168,69.904,42.358
