L1,L2,F1,F2,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
14.800,-14.800,100.527,0.100,-21.143,64.749,13.766,-21.066,64.544,13.388,-19.534,60.478,13.498,-19.462,60.091,13.891
14.900,-14.900,102.181,0.100,-21.319,64.278,13.762,-21.237,64.074,13.384,-19.600,60.040,13.495,-19.520,59.656,13.888
15.000,-15.000,102.491,0.100,-21.479,63.968,13.761,-21.395,63.766,13.383,-19.702,59.762,13.496,-19.616,59.378,13.889
15.100,-15.100,103.033,0.100,-21.604,63.685,13.758,-21.517,63.483,13.381,-19.766,59.501,13.494,-19.674,59.118,13.887
15.200,-15.200,103.033,0.100,-21.604,63.685,13.758,-21.517,63.483,13.381,-19.766,59.501,13.494,-19.674,59.118,13.887
15.300,-15.300,104.790,0.100,-21.744,63.231,13.753,-21.651,63.032,13.375,-19.802,59.091,13.492,-19.702,58.710,13.885
15.400,-15.400,105.095,0.100,-21.890,62.923,13.753,-21.794,62.725,13.375,-19.891,58.813,13.493,-19.785,58.433,13.886
15.500,-15.500,105.095,0.100,-21.890,62.923,13.753,-21.794,62.725,13.375,-19.891,58.813,13.493,-19.785,58.433,13.886
15.600,-15.600,106.766,0.100,-22.037,62.451,13.748,-21.936,62.255,13.371,-19.932,58.387,13.490,-19.819,58.009,13.884
15.700,-15.700,107.061,0.100,-22.180,62.137,13.747,-22.077,61.943,13.370,-20.020,58.109,13.491,-19.901,57.732,13.885
15.800,-15.800,107.061,0.100,-22.180,62.137,13.747,-22.077,61.943,13.370,-20.020,58.109,13.491,-19.901,57.732,13.885
15.900,-15.900,108.713,0.100,-22.314,61.663,13.743,-22.206,61.471,13.365,-20.049,57.683,13.488,-19.921,57.309,13.882
16.000,-16.000,109.016,0.100,-22.447,61.349,13.741,-22.335,61.159,13.364,-20.128,57.409,13.489,-19.995,57.036,13.883
16.100,-16.100,109.016,0.100,-22.447,61.349,13.741,-22.335,61.159,13.364,-20.128,57.409,13.489,-19.995,57.036,13.883
16.200,-16.200,110.663,0.100,-22.567,60.875,13.736,-22.451,60.688,13.359,-20.145,56.986,13.486,-20.003,56.617,13.880
16.300,-16.300,110.969,0.100,-22.691,60.560,13.734,-22.572,60.375,13.357,-20.217,56.714,13.486,-20.070,56.346,13.880
16.400,-16.400,110.969,0.100,-22.691,60.560,13.734,-22.572,60.375,13.357,-20.217,56.714,13.486,-20.070,56.346,13.880
16.500,-16.500,112.611,0.100,-22.799,60.087,13.730,-22.675,59.904,13.352,-20.223,56.295,13.483,-20.068,55.931,13.878
16.600,-16.600,112.918,0.100,-22.915,59.772,13.727,-22.788,59.591,13.350,-20.290,56.025,13.483,-20.129,55.662,13.878
16.700,-16.700,113.418,0.100,-23.000,59.481,13.724,-22.871,59.302,13.347,-20.318,55.767,13.480,-20.151,55.407,13.876
16.800,-16.800,113.418,0.100,-23.000,59.481,13.724,-22.871,59.302,13.347,-20.318,55.767,13.480,-20.151,55.407,13.876
16.900,-16.900,115.191,0.100,-23.076,59.031,13.718,-22.942,58.855,13.341,-20.304,55.382,13.478,-20.130,55.025,13.873
17.000,-17.000,115.476,0.100,-23.178,58.718,13.717,-23.041,58.544,13.340,-20.354,55.111,13.478,-20.175,54.756,13.874
17.100,-17.100,115.476,0.100,-23.178,58.718,13.717,-23.041,58.544,13.340,-20.354,55.111,13.478,-20.175,54.756,13.874
17.200,-17.200,117.157,0.100,-23.258,58.251,13.711,-23.117,58.080,13.334,-20.341,54.711,13.475,-20.154,54.360,13.871
17.300,-17.300,117.437,0.100,-23.356,57.934,13.709,-23.212,57.765,13.332,-20.392,54.441,13.476,-20.199,54.092,13.872
17.400,-17.400,117.939,0.100,-23.424,57.643,13.705,-23.278,57.477,13.329,-20.408,54.190,13.472,-20.210,53.845,13.869
17.500,-17.500,117.939,0.100,-23.424,57.643,13.705,-23.278,57.477,13.329,-20.408,54.190,13.472,-20.210,53.845,13.869
17.600,-17.600,119.705,0.100,-23.473,57.196,13.699,-23.323,57.033,13.323,-20.372,53.816,13.470,-20.168,53.474,13.867
17.700,-17.700,119.993,0.100,-23.555,56.885,13.697,-23.402,56.724,13.321,-20.408,53.551,13.470,-20.198,53.212,13.867
17.800,-17.800,119.993,0.100,-23.555,56.885,13.697,-23.402,56.724,13.321,-20.408,53.551,13.470,-20.198,53.212,13.867
17.900,-17.900,121.671,0.100,-23.606,56.423,13.691,-23.449,56.266,13.315,-20.372,53.163,13.467,-20.155,52.829,13.864
18.000,-18.000,121.952,0.100,-23.685,56.107,13.689,-23.525,55.952,13.312,-20.408,52.900,13.467,-20.186,52.568,13.864
18.100,-18.100,121.952,0.100,-23.685,56.107,13.689,-23.525,55.952,13.312,-20.408,52.900,13.467,-20.186,52.568,13.864
18.200,-18.200,123.598,0.100,-23.723,55.644,13.683,-23.560,55.494,13.307,-20.361,52.513,13.464,-20.131,52.187,13.861
18.300,-18.300,123.891,0.100,-23.793,55.331,13.679,-23.627,55.182,13.303,-20.391,52.255,13.463,-20.156,51.931,13.861
18.400,-18.400,123.891,0.100,-23.793,55.331,13.679,-23.627,55.182,13.303,-20.391,52.255,13.463,-20.156,51.931,13.861
18.500,-18.500,125.523,0.100,-23.819,54.870,13.674,-23.649,54.726,13.298,-20.332,51.872,13.460,-20.090,51.554,13.858
18.600,-18.600,125.825,0.100,-23.880,54.558,13.669,-23.708,54.416,13.293,-20.359,51.619,13.459,-20.112,51.303,13.857
18.700,-18.700,126.273,0.100,-23.915,54.267,13.666,-23.741,54.128,13.290,-20.344,51.373,13.456,-20.092,51.063,13.855
18.800,-18.800,126.273,0.100,-23.915,54.267,13.666,-23.741,54.128,13.290,-20.344,51.373,13.456,-20.092,51.063,13.855
18.900,-18.900,128.071,0.100,-23.916,53.835,13.658,-23.738,53.700,13.282,-20.279,51.030,13.453,-20.020,50.723,13.852
19.000,-19.000,128.325,0.100,-23.963,53.526,13.656,-23.783,53.394,13.281,-20.284,50.773,13.453,-20.021,50.471,13.852
19.100,-19.100,128.325,0.100,-23.963,53.526,13.656,-23.783,53.394,13.281,-20.284,50.773,13.453,-20.021,50.471,13.852
19.200,-19.200,130.026,0.100,-23.963,53.080,13.648,-23.780,52.952,13.273,-20.215,50.417,13.449,-19.945,50.120,13.848
19.300,-19.300,130.282,0.100,-24.006,52.769,13.646,-23.821,52.643,13.271,-20.222,50.163,13.450,-19.948,49.870,13.849
19.400,-19.400,130.759,0.100,-24.025,52.484,13.640,-23.838,52.361,13.265,-20.201,49.931,13.445,-19.922,49.642,13.845
19.500,-19.500,130.759,0.100,-24.025,52.484,13.640,-23.838,52.361,13.265,-20.201,49.931,13.445,-19.922,49.642,13.845
19.600,-19.600,132.529,0.100,-24.001,52.060,13.633,-23.811,51.941,13.258,-20.115,49.598,13.444,-19.830,49.315,13.844
